foro,tema
"Tableau Reader",Instalación
OmniPage,"OmniPage (Instalacion)"
"PAP(Puerta a Puerta)","PAP (PUERTA A PUERTA)"
OpenSSH,"Instalación en W10"
"Java desatendido",Java
MapSource,"Instalación y Configuración"
Windows,"Demora en Inicio de Sesión y error SSPI (Windows XP)"
OpenText,"Instalación en w10"
OpenText,"Configuración Scanner HP 7000 (ftp)"
OpenText,"Restaurar backup Impresora HP 7000"
OpenText,"Configuración OpenText"
OpenText,"Configurar OpenText en Producción"
OpenText,"Configuraciones especiales Tortuguitas Nave 2"
OpenText,"Crear FTP Windows 10 (HP 7000 para OpenText)"
OpenText,"Luego del escaneo en Opentext la imagen no se guarda en SAP"
"Soporte de Licencias Testeo","Operadores AC (Testeo)"
"Soporte de Licencias Testeo","Gastos Menores y Operadores Gastos Menores (Testeo)"
"Soporte de Licencias Testeo","Asignacion Contable (AC)  (Testeo)"
"Soporte de Licencias Testeo","Operadores AdminConSuc (Testeo)"
"Soporte de Licencias Testeo","SIMON (Testeo)"
"Soporte de Licencias Testeo","Stock Producto (Testeo)"
"BMC REMEDY USER","BMC Remedy Action Request System (Gestion de CRQ para jefes)"
Lapos,"terminal no tiene dispositivo pos asociado."
Lapos,"Error Dlls"
Lapos,"terminal no esta habilitada para este medio de pago"
Lapos,"Lapos VX520 MiniUSB"
UER,"Instalacion UER"
UER,"Configuración adicional post remasterización de PC con UER REGIONAL"
UER,"Tramites enviados que no impactar en UER"
UER,"UER XML.Document must have a top level element"
UER,"UER agregar usuarios admin"
UER,"Error de tablas en UER"
UER,"Operatoria UER"
Trend,"Desactivar Data Loss Protection (DLP)"
Trend,"Bajar o subir el servicio de antivirus."
Trend,"Desinstalacion completa del antivirus"
Trend,XP
"Proyecto Censo 2020","Configuracion para censo (ODBC TRAZALEG)"
"Call Center Scan","Instalación Call Center Scan"
HallOfFame,IM349308
HallOfFame,IM350098
HallOfFame,IM354403
HallOfFame,IM406649
NetFramework,"Detalles para instalación desde Powershell."
